donor,decade,amount
Saudi Arabia,70s,2.1680453868000003
Kuwait,70s,1.1110868824
United States,70s,6.435061426599999
United Arab Emirates,70s,0.7316587772
Germany,70s,4.4044091984
Belgium,70s,0.21944836080000002
Switzerland,70s,0.4813285726
Denmark,70s,0.4133080144
Japan,70s,5.5894914458
France,70s,1.8772581484
Australia,70s,1.4151305392
United Kingdom,70s,2.5228267293999997
Norway,70s,0.5181680888
Sweden,70s,1.2332569672
Canada,70s,1.9776468600000001
Netherlands,70s,1.6499455928
Saudi Arabia,00s,0.3242301784
Kuwait,00s,0.7374419682
United States,00s,26.8431108194
United Arab Emirates,00s,0.36832494699999996
Germany,00s,8.4815380162
Belgium,00s,1.615010985
Switzerland,00s,1.6700352332000001
Denmark,00s,1.6915455964
Japan,00s,15.008411612200002
France,00s,8.151220103
Australia,00s,2.2765538243999996
United Kingdom,00s,5.4926316204
Norway,00s,2.4456714856
Sweden,00s,2.2522126348000002
Canada,00s,2.9836567
Netherlands,00s,4.797345373200001
Others,70s,0.1973506708
Others,00s,7.0404372814
