donor,decade,rank
United States,70s,1
Japan,70s,2
Germany,70s,3
United Kingdom,70s,4
Saudi Arabia,70s,5
Canada,70s,6
France,70s,7
Netherlands,70s,8
Australia,70s,9
Sweden,70s,10
Kuwait,70s,11
United Arab Emirates,70s,12
Norway,70s,13
Switzerland,70s,14
Denmark,70s,15
Belgium,70s,16
Others,70s,17
United States,00s,1
Japan,00s,2
Germany,00s,3
United Kingdom,00s,6
Saudi Arabia,00s,17
Canada,00s,8
France,00s,4
Netherlands,00s,7
Australia,00s,10
Sweden,00s,11
Kuwait,00s,15
United Arab Emirates,00s,16
Norway,00s,9
Switzerland,00s,13
Denmark,00s,12
Belgium,00s,14
Others,00s,5
