donor,year,amount
Greece,1981-01-01,0.000000
Greece,1982-01-01,0.000000
Greece,1983-01-01,0.000000
Greece,1984-01-01,0.000000
Greece,1985-01-01,0.000000
Greece,1986-01-01,0.000000
Greece,1987-01-01,0.000000
Greece,1988-01-01,0.000000
Greece,1989-01-01,0.000000
Greece,1990-01-01,0.000000
Greece,1991-01-01,0.000000
Greece,1992-01-01,0.000000
Greece,1993-01-01,0.000000
Greece,1994-01-01,0.000000
Greece,1995-01-01,0.000000
Greece,1996-01-01,0.000000
Greece,1997-01-01,0.000000
Greece,1998-01-01,0.000000
Greece,1999-01-01,0.000000
Greece,2000-01-01,0.000000
Greece,2001-01-01,0.000000
Greece,2002-01-01,0.214831
Greece,2003-01-01,0.371013
Greece,2004-01-01,0.223775
Greece,2005-01-01,0.267817
Greece,2006-01-01,0.247353
Greece,2007-01-01,0.279517
Greece,2008-01-01,0.316236
Greece,2009-01-01,0.302997
Greece,2010-01-01,0.224820
Greece,2011-01-01,0.153897
Greece,2012-01-01,0.116816
Greece,2013-01-01,0.040696
India,1981-01-01,0.000000
India,1982-01-01,0.000000
India,1983-01-01,0.000000
India,1984-01-01,0.000000
India,1985-01-01,0.000000
India,1986-01-01,0.000000
India,1987-01-01,0.000000
India,1988-01-01,0.000000
India,1989-01-01,0.000000
India,1990-01-01,0.000000
India,1991-01-01,0.000000
India,1992-01-01,0.000000
India,1993-01-01,0.000000
India,1994-01-01,0.000000
India,1995-01-01,0.000000
India,1996-01-01,0.000000
India,1997-01-01,0.000000
India,1998-01-01,0.000000
India,1999-01-01,0.000000
India,2000-01-01,0.000000
India,2001-01-01,0.000000
India,2002-01-01,0.000000
India,2003-01-01,0.000000
India,2004-01-01,0.000000
India,2005-01-01,0.000000
India,2006-01-01,0.156845
India,2007-01-01,0.404214
India,2008-01-01,1.507856
India,2009-01-01,1.507044
India,2010-01-01,0.642592
India,2011-01-01,0.000000
India,2012-01-01,0.000000
India,2013-01-01,0.000000
Ireland,1981-01-01,0.000000
Ireland,1982-01-01,0.000000
Ireland,1983-01-01,0.000000
Ireland,1984-01-01,0.000000
Ireland,1985-01-01,0.000000
Ireland,1986-01-01,0.000000
Ireland,1987-01-01,0.000000
Ireland,1988-01-01,0.000000
Ireland,1989-01-01,0.000000
Ireland,1990-01-01,0.000000
Ireland,1991-01-01,0.000000
Ireland,1992-01-01,0.000000
Ireland,1993-01-01,0.000000
Ireland,1994-01-01,0.000000
Ireland,1995-01-01,0.000000
Ireland,1996-01-01,0.000000
Ireland,1997-01-01,0.000000
Ireland,1998-01-01,0.000000
Ireland,1999-01-01,0.000000
Ireland,2000-01-01,0.246214
Ireland,2001-01-01,0.336627
Ireland,2002-01-01,0.402984
Ireland,2003-01-01,0.396189
Ireland,2004-01-01,0.443047
Ireland,2005-01-01,0.509019
Ireland,2006-01-01,0.638682
Ireland,2007-01-01,0.765058
Ireland,2008-01-01,0.838269
Ireland,2009-01-01,0.681821
Ireland,2010-01-01,0.617293
Ireland,2011-01-01,0.606084
Ireland,2012-01-01,0.570016
Ireland,2013-01-01,0.530870
Korea,1981-01-01,0.000000
Korea,1982-01-01,0.000000
Korea,1983-01-01,0.000000
Korea,1984-01-01,0.000000
Korea,1985-01-01,0.000000
Korea,1986-01-01,0.000000
Korea,1987-01-01,0.000000
Korea,1988-01-01,0.000000
Korea,1989-01-01,0.000000
Korea,1990-01-01,0.000000
Korea,1991-01-01,0.000000
Korea,1992-01-01,0.000000
Korea,1993-01-01,0.000000
Korea,1994-01-01,0.000000
Korea,1995-01-01,0.000000
Korea,1996-01-01,0.000000
Korea,1997-01-01,0.000000
Korea,1998-01-01,0.000000
Korea,1999-01-01,0.000000
Korea,2000-01-01,0.000000
Korea,2001-01-01,0.000000
Korea,2002-01-01,0.000000
Korea,2003-01-01,0.000000
Korea,2004-01-01,0.000000
Korea,2005-01-01,0.000000
Korea,2006-01-01,2.306720
Korea,2007-01-01,3.135626
Korea,2008-01-01,3.795372
Korea,2009-01-01,4.145204
Korea,2010-01-01,1.921186
Korea,2011-01-01,1.627534
Korea,2012-01-01,1.760095
Korea,2013-01-01,7.064438
Liechtenstein,1981-01-01,0.000994
Liechtenstein,1982-01-01,0.000760
Liechtenstein,1983-01-01,0.000089
Liechtenstein,1984-01-01,0.000060
Liechtenstein,1985-01-01,0.000149
Liechtenstein,1986-01-01,0.000366
Liechtenstein,1987-01-01,0.000104
Liechtenstein,1988-01-01,0.000172
Liechtenstein,1989-01-01,0.000112
Liechtenstein,1990-01-01,0.000529
Liechtenstein,1991-01-01,0.001007
Liechtenstein,1992-01-01,0.000298
Liechtenstein,1993-01-01,0.000458
Liechtenstein,1994-01-01,0.000470
Liechtenstein,1995-01-01,0.000238
Liechtenstein,1996-01-01,0.000608
Liechtenstein,1997-01-01,0.000429
Liechtenstein,1998-01-01,0.001952
Liechtenstein,1999-01-01,0.000000
Liechtenstein,2000-01-01,0.002523
Liechtenstein,2001-01-01,0.000929
Liechtenstein,2002-01-01,0.002749
Liechtenstein,2003-01-01,0.005884
Liechtenstein,2004-01-01,0.003581
Liechtenstein,2005-01-01,0.004620
Liechtenstein,2006-01-01,0.007009
Liechtenstein,2007-01-01,0.002763
Liechtenstein,2008-01-01,0.010140
Liechtenstein,2009-01-01,0.000000
Liechtenstein,2010-01-01,0.000000
Liechtenstein,2011-01-01,0.000000
Liechtenstein,2012-01-01,0.000000
Liechtenstein,2013-01-01,0.000000
Portugal,1981-01-01,0.000000
Portugal,1982-01-01,0.000000
Portugal,1983-01-01,0.042794
Portugal,1984-01-01,0.783775
Portugal,1985-01-01,0.124129
Portugal,1986-01-01,0.000000
Portugal,1987-01-01,0.429091
Portugal,1988-01-01,0.083745
Portugal,1989-01-01,0.295786
Portugal,1990-01-01,0.028073
Portugal,1991-01-01,0.029384
Portugal,1992-01-01,0.342075
Portugal,1993-01-01,0.331338
Portugal,1994-01-01,0.411472
Portugal,1995-01-01,0.268397
Portugal,1996-01-01,0.220937
Portugal,1997-01-01,0.342769
Portugal,1998-01-01,0.086530
Portugal,1999-01-01,0.643895
Portugal,2000-01-01,0.913591
Portugal,2001-01-01,0.405053
Portugal,2002-01-01,0.326142
Portugal,2003-01-01,0.267792
Portugal,2004-01-01,1.303338
Portugal,2005-01-01,0.334704
Portugal,2006-01-01,0.224508
Portugal,2007-01-01,0.324842
Portugal,2008-01-01,0.250310
Portugal,2009-01-01,0.356699
Portugal,2010-01-01,0.418132
Portugal,2011-01-01,0.479513
Portugal,2012-01-01,0.435487
Portugal,2013-01-01,0.313185
Spain,1981-01-01,0.000000
Spain,1982-01-01,0.000000
Spain,1983-01-01,0.000000
Spain,1984-01-01,0.000000
Spain,1985-01-01,0.000000
Spain,1986-01-01,0.000000
Spain,1987-01-01,0.000000
Spain,1988-01-01,0.284416
Spain,1989-01-01,1.227836
Spain,1990-01-01,0.953958
Spain,1991-01-01,1.783800
Spain,1992-01-01,1.365959
Spain,1993-01-01,0.798636
Spain,1994-01-01,0.492030
Spain,1995-01-01,0.532563
Spain,1996-01-01,0.629282
Spain,1997-01-01,1.350222
Spain,1998-01-01,1.931513
Spain,1999-01-01,1.992595
Spain,2000-01-01,2.048168
Spain,2001-01-01,2.545383
Spain,2002-01-01,2.169518
Spain,2003-01-01,2.235915
Spain,2004-01-01,1.902696
Spain,2005-01-01,2.407325
Spain,2006-01-01,3.190855
Spain,2007-01-01,3.985912
Spain,2008-01-01,4.778429
Spain,2009-01-01,4.464904
Spain,2010-01-01,5.056346
Spain,2011-01-01,2.647480
Spain,2012-01-01,1.230717
Spain,2013-01-01,1.048706
Taiwan,1981-01-01,0.000000
Taiwan,1982-01-01,0.000000
Taiwan,1983-01-01,0.000000
Taiwan,1984-01-01,0.000000
Taiwan,1985-01-01,0.000000
Taiwan,1986-01-01,0.000000
Taiwan,1987-01-01,0.000000
Taiwan,1988-01-01,0.000000
Taiwan,1989-01-01,0.000000
Taiwan,1990-01-01,0.024502
Taiwan,1991-01-01,0.145241
Taiwan,1992-01-01,0.042765
Taiwan,1993-01-01,0.197624
Taiwan,1994-01-01,0.193211
Taiwan,1995-01-01,0.042093
Taiwan,1996-01-01,0.141365
Taiwan,1997-01-01,0.167024
Taiwan,1998-01-01,0.132358
Taiwan,1999-01-01,0.079631
Taiwan,2000-01-01,0.057196
Taiwan,2001-01-01,0.067249
Taiwan,2002-01-01,0.025854
Taiwan,2003-01-01,0.029682
Taiwan,2004-01-01,0.036225
Taiwan,2005-01-01,0.016521
Taiwan,2006-01-01,0.075974
Taiwan,2007-01-01,0.062867
Taiwan,2008-01-01,0.058773
Taiwan,2009-01-01,0.036470
Taiwan,2010-01-01,0.073836
Taiwan,2011-01-01,0.133496
Taiwan,2012-01-01,0.000000
Taiwan,2013-01-01,0.000000
Others,1981-01-01,0.000000
Others,1982-01-01,0.000000
Others,1983-01-01,0.000000
Others,1984-01-01,0.000000
Others,1985-01-01,0.000000
Others,1986-01-01,0.000000
Others,1987-01-01,0.000000
Others,1988-01-01,0.000000
Others,1989-01-01,0.006617
Others,1990-01-01,0.000019
Others,1991-01-01,0.000000
Others,1992-01-01,0.004867
Others,1993-01-01,0.000000
Others,1994-01-01,0.016516
Others,1995-01-01,0.004866
Others,1996-01-01,0.050180
Others,1997-01-01,0.025493
Others,1998-01-01,0.021368
Others,1999-01-01,0.013318
Others,2000-01-01,0.020773
Others,2001-01-01,0.195551
Others,2002-01-01,0.210692
Others,2003-01-01,0.247193
Others,2004-01-01,0.264182
Others,2005-01-01,0.374024
Others,2006-01-01,0.438851
Others,2007-01-01,0.531481
Others,2008-01-01,0.455464
Others,2009-01-01,0.387076
Others,2010-01-01,0.558461
Others,2011-01-01,0.360385
Others,2012-01-01,0.384981
Others,2013-01-01,0.573610
