chara,year,amount
Greece,2002-01-01,214831202
Greece,2003-01-01,371012706
Greece,2004-01-01,223774677
Greece,2005-01-01,267817386
Greece,2006-01-01,247353378
Greece,2007-01-01,279517116
Greece,2008-01-01,316236290
Greece,2009-01-01,302996603
Greece,2010-01-01,224819873
Greece,2011-01-01,153897346
Greece,2012-01-01,116815779
Greece,2013-01-01,40695643
Ireland,2000-01-01,246213764
Ireland,2001-01-01,336626715
Ireland,2002-01-01,402984386
Ireland,2003-01-01,396189066
Ireland,2004-01-01,443046986
Ireland,2005-01-01,509018873
Ireland,2006-01-01,638682050
Ireland,2007-01-01,765058148
Ireland,2008-01-01,838269477
Ireland,2009-01-01,681821451
Ireland,2010-01-01,617293353
Ireland,2011-01-01,606083964
Ireland,2012-01-01,570016077
Ireland,2013-01-01,530869905
Korea,2006-01-01,2306720433
Korea,2007-01-01,3135625602
Korea,2008-01-01,3795372418
Korea,2009-01-01,4145203785
Korea,2010-01-01,1921185530
Korea,2011-01-01,1627533718
Korea,2012-01-01,1760095421
Korea,2013-01-01,7064438453
Portugal,1983-01-01,42794173
Portugal,1984-01-01,783774944
Portugal,1985-01-01,124128554
Portugal,1987-01-01,429090723
Portugal,1988-01-01,83744651
Portugal,1989-01-01,295785818
Portugal,1990-01-01,28073104
Portugal,1991-01-01,29384355
Portugal,1992-01-01,342074658
Portugal,1993-01-01,331337527
Portugal,1994-01-01,411471716
Portugal,1995-01-01,268397115
Portugal,1996-01-01,220936859
Portugal,1997-01-01,342769436
Portugal,1998-01-01,86530279
Portugal,1999-01-01,643895289
Portugal,2000-01-01,913591486
Portugal,2001-01-01,405053215
Portugal,2002-01-01,326141691
Portugal,2003-01-01,267791936
Portugal,2004-01-01,1303337776
Portugal,2005-01-01,334704332
Portugal,2006-01-01,224508161
Portugal,2007-01-01,324841616
Portugal,2008-01-01,250309623
Portugal,2009-01-01,356699018
Portugal,2010-01-01,418132386
Portugal,2011-01-01,479513327
Portugal,2012-01-01,435486525
Portugal,2013-01-01,313184709
Spain,1988-01-01,284416184
Spain,1989-01-01,1227835559
Spain,1990-01-01,953958388
Spain,1991-01-01,1783799755
Spain,1992-01-01,1365958810
Spain,1993-01-01,798636229
Spain,1994-01-01,492030486
Spain,1995-01-01,532563228
Spain,1996-01-01,629282406
Spain,1997-01-01,1350222174
Spain,1998-01-01,1931512746
Spain,1999-01-01,1992595360
Spain,2000-01-01,2048167659
Spain,2001-01-01,2545383291
Spain,2002-01-01,2169517720
Spain,2003-01-01,2235915219
Spain,2004-01-01,1902695562
Spain,2005-01-01,2407325239
Spain,2006-01-01,3190854815
Spain,2007-01-01,3985911922
Spain,2008-01-01,4778428912
Spain,2009-01-01,4464903722
Spain,2010-01-01,5056346346
Spain,2011-01-01,2647479551
Spain,2012-01-01,1230716886
Spain,2013-01-01,1048705516
