chara,year,variable,value
Greece,2002-01-01,given,214831202.0
Greece,2003-01-01,given,371012706.0
Greece,2004-01-01,given,223774677.0
Greece,2005-01-01,given,267817386.0
Greece,2006-01-01,given,247353378.0
Greece,2007-01-01,given,279517116.0
Greece,2008-01-01,given,316236290.0
Greece,2009-01-01,given,302996603.0
Greece,2010-01-01,given,224819873.0
Greece,2011-01-01,given,153897346.0
Greece,2012-01-01,given,116815779.0
Greece,2013-01-01,given,40695643.0
Ireland,2000-01-01,given,246213764.0
Ireland,2001-01-01,given,336626715.0
Ireland,2002-01-01,given,402984386.0
Ireland,2003-01-01,given,396189066.0
Ireland,2004-01-01,given,443046986.0
Ireland,2005-01-01,given,509018873.0
Ireland,2006-01-01,given,638682050.0
Ireland,2007-01-01,given,765058148.0
Ireland,2008-01-01,given,838269477.0
Ireland,2009-01-01,given,681821451.0
Ireland,2010-01-01,given,617293353.0
Ireland,2011-01-01,given,606083964.0
Ireland,2012-01-01,given,570016077.0
Ireland,2013-01-01,given,530869905.0
Korea,2006-01-01,given,2306720433.0
Korea,2007-01-01,given,3135625602.0
Korea,2008-01-01,given,3795372418.0
Korea,2009-01-01,given,4145203785.0
Korea,2010-01-01,given,1921185530.0
Korea,2011-01-01,given,1627533718.0
Korea,2012-01-01,given,1760095421.0
Korea,2013-01-01,given,7064438453.0
Portugal,1983-01-01,given,42794173.0
Portugal,1984-01-01,given,783774944.0
Portugal,1985-01-01,given,124128554.0
Portugal,1987-01-01,given,429090723.0
Portugal,1988-01-01,given,83744651.0
Portugal,1989-01-01,given,295785818.0
Portugal,1990-01-01,given,28073104.0
Portugal,1991-01-01,given,29384355.0
Portugal,1992-01-01,given,342074658.0
Portugal,1993-01-01,given,331337527.0
Portugal,1994-01-01,given,411471716.0
Portugal,1995-01-01,given,268397115.0
Portugal,1996-01-01,given,220936859.0
Portugal,1997-01-01,given,342769436.0
Portugal,1998-01-01,given,86530279.0
Portugal,1999-01-01,given,643895289.0
Portugal,2000-01-01,given,913591486.0
Portugal,2001-01-01,given,405053215.0
Portugal,2002-01-01,given,326141691.0
Portugal,2003-01-01,given,267791936.0
Portugal,2004-01-01,given,1303337776.0
Portugal,2005-01-01,given,334704332.0
Portugal,2006-01-01,given,224508161.0
Portugal,2007-01-01,given,324841616.0
Portugal,2008-01-01,given,250309623.0
Portugal,2009-01-01,given,356699018.0
Portugal,2010-01-01,given,418132386.0
Portugal,2011-01-01,given,479513327.0
Portugal,2012-01-01,given,435486525.0
Portugal,2013-01-01,given,313184709.0
Spain,1988-01-01,given,284416184.0
Spain,1989-01-01,given,1227835559.0
Spain,1990-01-01,given,953958388.0
Spain,1991-01-01,given,1783799755.0
Spain,1992-01-01,given,1365958810.0
Spain,1993-01-01,given,798636229.0
Spain,1994-01-01,given,492030486.0
Spain,1995-01-01,given,532563228.0
Spain,1996-01-01,given,629282406.0
Spain,1997-01-01,given,1350222174.0
Spain,1998-01-01,given,1931512746.0
Spain,1999-01-01,given,1992595360.0
Spain,2000-01-01,given,2048167659.0
Spain,2001-01-01,given,2545383291.0
Spain,2002-01-01,given,2169517720.0
Spain,2003-01-01,given,2235915219.0
Spain,2004-01-01,given,1902695562.0
Spain,2005-01-01,given,2407325239.0
Spain,2006-01-01,given,3190854815.0
Spain,2007-01-01,given,3985911922.0
Spain,2008-01-01,given,4778428912.0
Spain,2009-01-01,given,4464903722.0
Spain,2010-01-01,given,5056346346.0
Spain,2011-01-01,given,2647479551.0
Spain,2012-01-01,given,1230716886.0
Spain,2013-01-01,given,1048705516.0
Greece,1968-01-01,given,0.0
Greece,1970-01-01,given,0.0
Greece,1971-01-01,given,0.0
Greece,1972-01-01,given,0.0
Greece,1973-01-01,given,0.0
Greece,1974-01-01,given,0.0
Greece,1975-01-01,given,0.0
Greece,1976-01-01,given,0.0
Greece,1977-01-01,given,0.0
Greece,1978-01-01,given,0.0
Greece,1979-01-01,given,0.0
Greece,1980-01-01,given,0.0
Greece,1981-01-01,given,0.0
Greece,1985-01-01,given,0.0
Greece,1988-01-01,given,0.0
Greece,1991-01-01,given,0.0
Greece,1997-01-01,given,0.0
Ireland,1969-01-01,given,0.0
Ireland,1971-01-01,given,0.0
Ireland,1972-01-01,given,0.0
Ireland,1973-01-01,given,0.0
Ireland,1974-01-01,given,0.0
Ireland,1975-01-01,given,0.0
Ireland,1980-01-01,given,0.0
Ireland,1981-01-01,given,0.0
Ireland,1990-01-01,given,0.0
Ireland,1991-01-01,given,0.0
Ireland,1999-01-01,given,0.0
Korea,1962-01-01,given,0.0
Korea,1967-01-01,given,0.0
Korea,1968-01-01,given,0.0
Korea,1969-01-01,given,0.0
Korea,1970-01-01,given,0.0
Korea,1971-01-01,given,0.0
Korea,1972-01-01,given,0.0
Korea,1973-01-01,given,0.0
Korea,1974-01-01,given,0.0
Korea,1975-01-01,given,0.0
Korea,1976-01-01,given,0.0
Korea,1977-01-01,given,0.0
Korea,1978-01-01,given,0.0
Korea,1979-01-01,given,0.0
Korea,1980-01-01,given,0.0
Korea,1981-01-01,given,0.0
Korea,1982-01-01,given,0.0
Korea,1983-01-01,given,0.0
Korea,1984-01-01,given,0.0
Korea,1985-01-01,given,0.0
Korea,1986-01-01,given,0.0
Korea,1987-01-01,given,0.0
Korea,1988-01-01,given,0.0
Korea,1989-01-01,given,0.0
Korea,1990-01-01,given,0.0
Korea,1991-01-01,given,0.0
Korea,1992-01-01,given,0.0
Korea,1993-01-01,given,0.0
Korea,1994-01-01,given,0.0
Korea,1995-01-01,given,0.0
Korea,1996-01-01,given,0.0
Korea,1997-01-01,given,0.0
Korea,1998-01-01,given,0.0
Korea,1999-01-01,given,0.0
Korea,2000-01-01,given,0.0
Korea,2001-01-01,given,0.0
Korea,2002-01-01,given,0.0
Korea,2003-01-01,given,0.0
Korea,2004-01-01,given,0.0
Portugal,1963-01-01,given,0.0
Portugal,1965-01-01,given,0.0
Portugal,1966-01-01,given,0.0
Portugal,1976-01-01,given,0.0
Portugal,1977-01-01,given,0.0
Portugal,1978-01-01,given,0.0
Portugal,1979-01-01,given,0.0
Portugal,1980-01-01,given,0.0
Portugal,1981-01-01,given,0.0
Portugal,1982-01-01,given,0.0
Portugal,1986-01-01,given,0.0
Spain,1963-01-01,given,0.0
Spain,1964-01-01,given,0.0
Spain,1965-01-01,given,0.0
Spain,1967-01-01,given,0.0
Spain,1969-01-01,given,0.0
Spain,1970-01-01,given,0.0
Spain,1971-01-01,given,0.0
Spain,1972-01-01,given,0.0
Spain,1973-01-01,given,0.0
Spain,1975-01-01,given,0.0
Spain,1977-01-01,given,0.0
Spain,1980-01-01,given,0.0
Spain,1981-01-01,given,0.0
Spain,1982-01-01,given,0.0
Spain,1983-01-01,given,0.0
Greece,2002-01-01,recieved,-0.0
Greece,2003-01-01,recieved,-0.0
Greece,2004-01-01,recieved,-0.0
Greece,2005-01-01,recieved,-355932.0
Greece,2006-01-01,recieved,-0.0
Greece,2007-01-01,recieved,-0.0
Greece,2008-01-01,recieved,-0.0
Greece,2009-01-01,recieved,-0.0
Greece,2010-01-01,recieved,-18459940676.0
Greece,2011-01-01,recieved,-0.0
Greece,2012-01-01,recieved,-0.0
Greece,2013-01-01,recieved,-0.0
Ireland,2000-01-01,recieved,-171345603.0
Ireland,2001-01-01,recieved,-175063408.0
Ireland,2002-01-01,recieved,-272240314.0
Ireland,2003-01-01,recieved,-0.0
Ireland,2004-01-01,recieved,-0.0
Ireland,2005-01-01,recieved,-0.0
Ireland,2006-01-01,recieved,-0.0
Ireland,2007-01-01,recieved,-0.0
Ireland,2008-01-01,recieved,-0.0
Ireland,2009-01-01,recieved,-0.0
Ireland,2010-01-01,recieved,-13594328023.0
Ireland,2011-01-01,recieved,-0.0
Ireland,2012-01-01,recieved,-0.0
Ireland,2013-01-01,recieved,-0.0
Korea,2006-01-01,recieved,-10646451.0
Korea,2007-01-01,recieved,-0.0
Korea,2008-01-01,recieved,-0.0
Korea,2009-01-01,recieved,-0.0
Korea,2010-01-01,recieved,-0.0
Korea,2011-01-01,recieved,-0.0
Korea,2012-01-01,recieved,-0.0
Korea,2013-01-01,recieved,-0.0
Portugal,1983-01-01,recieved,-1551146392.0
Portugal,1984-01-01,recieved,-239040368.0
Portugal,1985-01-01,recieved,-246058028.0
Portugal,1987-01-01,recieved,-177901755.0
Portugal,1988-01-01,recieved,-114567267.0
Portugal,1989-01-01,recieved,-164736840.0
Portugal,1990-01-01,recieved,-33779496.0
Portugal,1991-01-01,recieved,-4420366.0
Portugal,1992-01-01,recieved,-0.0
Portugal,1993-01-01,recieved,-0.0
Portugal,1994-01-01,recieved,-4420832.0
Portugal,1995-01-01,recieved,-0.0
Portugal,1996-01-01,recieved,-0.0
Portugal,1997-01-01,recieved,-0.0
Portugal,1998-01-01,recieved,-0.0
Portugal,1999-01-01,recieved,-0.0
Portugal,2000-01-01,recieved,-0.0
Portugal,2001-01-01,recieved,-0.0
Portugal,2002-01-01,recieved,-0.0
Portugal,2003-01-01,recieved,-0.0
Portugal,2004-01-01,recieved,-0.0
Portugal,2005-01-01,recieved,-0.0
Portugal,2006-01-01,recieved,-0.0
Portugal,2007-01-01,recieved,-0.0
Portugal,2008-01-01,recieved,-113058.0
Portugal,2009-01-01,recieved,-0.0
Portugal,2010-01-01,recieved,-0.0
Portugal,2011-01-01,recieved,-15121659714.0
Portugal,2012-01-01,recieved,-0.0
Portugal,2013-01-01,recieved,-0.0
Spain,1988-01-01,recieved,-0.0
Spain,1989-01-01,recieved,-647995.0
Spain,1990-01-01,recieved,-0.0
Spain,1991-01-01,recieved,-0.0
Spain,1992-01-01,recieved,-0.0
Spain,1993-01-01,recieved,-0.0
Spain,1994-01-01,recieved,-0.0
Spain,1995-01-01,recieved,-0.0
Spain,1996-01-01,recieved,-0.0
Spain,1997-01-01,recieved,-0.0
Spain,1998-01-01,recieved,-0.0
Spain,1999-01-01,recieved,-0.0
Spain,2000-01-01,recieved,-0.0
Spain,2001-01-01,recieved,-0.0
Spain,2002-01-01,recieved,-0.0
Spain,2003-01-01,recieved,-0.0
Spain,2004-01-01,recieved,-0.0
Spain,2005-01-01,recieved,-0.0
Spain,2006-01-01,recieved,-0.0
Spain,2007-01-01,recieved,-0.0
Spain,2008-01-01,recieved,-0.0
Spain,2009-01-01,recieved,-0.0
Spain,2010-01-01,recieved,-0.0
Spain,2011-01-01,recieved,-9171590.0
Spain,2012-01-01,recieved,-0.0
Spain,2013-01-01,recieved,-0.0
Greece,1968-01-01,recieved,-85353713.0
Greece,1970-01-01,recieved,-218454563.0
Greece,1971-01-01,recieved,-305008906.0
