chara,year,given,recieved,total
Greece,2002-01-01,214831202.0,-2635394478.0,-2420563276.0
Greece,2003-01-01,585843908.0,-2635394478.0,-2049550570.0
Greece,2004-01-01,809618585.0,-2635394478.0,-1825775893.0
Greece,2005-01-01,1077435971.0,-2635750410.0,-1558314439.0
Greece,2006-01-01,1324789349.0,-2635750410.0,-1310961061.0
Greece,2007-01-01,1604306465.0,-2635750410.0,-1031443945.0
Greece,2008-01-01,1920542755.0,-2635750410.0,-715207655.0
Greece,2009-01-01,2223539358.0,-2635750410.0,-412211052.0
Greece,2010-01-01,2448359231.0,-21095691086.0,-18647331855.0
Greece,2011-01-01,2602256577.0,-21095691086.0,-18493434509.0
Greece,2012-01-01,2719072356.0,-21095691086.0,-18376618730.0
Greece,2013-01-01,2759767999.0,-21095691086.0,-18335923087.0
Ireland,2000-01-01,246213764.0,-1281293875.0,-1035080111.0
Ireland,2001-01-01,582840479.0,-1456357283.0,-873516804.0
Ireland,2002-01-01,985824865.0,-1728597597.0,-742772732.0
Ireland,2003-01-01,1382013931.0,-1728597597.0,-346583666.0
Ireland,2004-01-01,1825060917.0,-1728597597.0,96463320.0
Ireland,2005-01-01,2334079790.0,-1728597597.0,605482193.0
Ireland,2006-01-01,2972761840.0,-1728597597.0,1244164243.0
Ireland,2007-01-01,3737819988.0,-1728597597.0,2009222391.0
Ireland,2008-01-01,4576089465.0,-1728597597.0,2847491868.0
Ireland,2009-01-01,5257910916.0,-1728597597.0,3529313319.0
Ireland,2010-01-01,5875204269.0,-15322925620.0,-9447721351.0
Ireland,2011-01-01,6481288233.0,-15322925620.0,-8841637387.0
Ireland,2012-01-01,7051304310.0,-15322925620.0,-8271621310.0
Ireland,2013-01-01,7582174215.0,-15322925620.0,-7740751405.0
Korea,2006-01-01,2306720433.0,-99577810048.0,-97271089615.0
Korea,2007-01-01,5442346035.0,-99577810048.0,-94135464013.0
Korea,2008-01-01,9237718453.0,-99577810048.0,-90340091595.0
Korea,2009-01-01,13382922238.0,-99577810048.0,-86194887810.0
Korea,2010-01-01,15304107768.0,-99577810048.0,-84273702280.0
Korea,2011-01-01,16931641486.0,-99577810048.0,-82646168562.0
Korea,2012-01-01,18691736907.0,-99577810048.0,-80886073141.0
Korea,2013-01-01,25756175360.0,-99577810048.0,-73821634688.0
Portugal,1983-01-01,42794173.0,-4190385380.0,-4147591207.0
Portugal,1984-01-01,826569117.0,-4429425748.0,-3602856631.0
Portugal,1985-01-01,950697671.0,-4675483776.0,-3724786105.0
Portugal,1987-01-01,1379788394.0,-4875248778.0,-3495460384.0
Portugal,1988-01-01,1463533045.0,-4989816045.0,-3526283000.0
Portugal,1989-01-01,1759318863.0,-5154552885.0,-3395234022.0
Portugal,1990-01-01,1787391967.0,-5188332381.0,-3400940414.0
Portugal,1991-01-01,1816776322.0,-5192752747.0,-3375976425.0
Portugal,1992-01-01,2158850980.0,-5192752747.0,-3033901767.0
Portugal,1993-01-01,2490188507.0,-5192752747.0,-2702564240.0
Portugal,1994-01-01,2901660223.0,-5197173579.0,-2295513356.0
Portugal,1995-01-01,3170057338.0,-5197173579.0,-2027116241.0
Portugal,1996-01-01,3390994197.0,-5197173579.0,-1806179382.0
Portugal,1997-01-01,3733763633.0,-5197173579.0,-1463409946.0
Portugal,1998-01-01,3820293912.0,-5197173579.0,-1376879667.0
Portugal,1999-01-01,4464189201.0,-5197173579.0,-732984378.0
Portugal,2000-01-01,5377780687.0,-5197173579.0,180607108.0
Portugal,2001-01-01,5782833902.0,-5197173579.0,585660323.0
